ID,检测事件,记录时间,地点位置,是否异常,前/后摄
75,未佩戴安全帽,2026-08-13 08:36:34,前摄像头,是,前摄
76,未佩戴安全帽,2026-08-13 08:36:38,cam01,是,前摄
76,未佩戴安全帽,2026-08-13 08:36:44,前摄像头,是,前摄
77,未佩戴安全帽,2026-08-13 08:36:48,cam01,是,前摄
77,未佩戴安全帽,2026-08-13 08:36:54,前摄像头,是,前摄
78,未佩戴安全帽,2026-08-13 08:36:58,cam01,是,前摄
79,未佩戴安全帽,2026-08-13 08:38:34,前摄像头,是,前摄
80,未佩戴安全帽,2026-08-13 08:38:44,前摄像头,是,前摄
81,未佩戴安全帽,2026-08-13 08:38:54,前摄像头,是,前摄
82,未佩戴安全帽,2026-08-13 08:39:21,前摄像头,是,前摄
83,未佩戴安全帽,2026-08-13 08:39:31,前摄像头,是,前摄
84,未佩戴安全帽,2026-08-13 08:39:41,前摄像头,是,前摄
85,未佩戴安全帽,2026-08-13 08:39:51,前摄像头,是,前摄
86,未佩戴安全帽,2026-08-13 08:40:01,前摄像头,是,前摄
87,未佩戴安全帽,2026-08-13 08:40:11,前摄像头,是,前摄
87,未佩戴安全帽,2026-08-13 08:40:14,cam01,是,前摄
88,未佩戴安全帽,2026-08-13 08:40:21,前摄像头,是,前摄
88,未佩戴安全帽,2026-08-13 08:40:24,cam01,是,前摄
89,未佩戴安全帽,2026-08-13 08:40:31,前摄像头,是,前摄
89,未佩戴安全帽,2026-08-13 08:40:34,cam01,是,前摄
90,未佩戴安全帽,2026-08-13 08:40:41,前摄像头,是,前摄
90,未佩戴安全帽,2026-08-13 08:40:44,cam01,是,前摄
91,未佩戴安全帽,2026-08-13 08:40:51,前摄像头,是,前摄
91,未佩戴安全帽,2026-08-13 08:40:54,cam01,是,前摄
92,未佩戴安全帽,2026-08-13 08:41:01,前摄像头,是,前摄
92,未佩戴安全帽,2026-08-13 08:41:04,cam01,是,前摄
93,未佩戴安全帽,2026-08-13 08:41:11,前摄像头,是,前摄
93,未佩戴安全帽,2026-08-13 08:41:14,cam01,是,前摄
